number,player,position,apps,goals,assists,minutes,pass_pct
10,Lionel Messi,RW,38,43,18,3325,84
11,Neymar,LW,33,22,7,2700,82
9,Luis Suárez,ST,27,16,11,2210,81
7,Pedro,RW,27,6,3,1360,84
4,Ivan Rakitić,CM,36,5,5,2900,86
24,Jérémy Mathieu,CB,26,3,0,2030,88
8,Andrés Iniesta,CM,27,3,4,2050,89
12,Rafinha,CM,26,3,2,1520,85
22,Dani Alves,RB,27,1,6,2210,84
3,Gerard Piqué,CB,31,1,1,2700,90
18,Jordi Alba,LB,32,1,8,2720,85
15,Marc Bartra,CB,12,1,0,870,89
17,Munir El Haddadi,ST,12,1,1,520,80
19,Sandro Ramírez,ST,6,1,0,210,79
1,Claudio Bravo,GK,37,0,0,3330,78
13,Marc-André ter Stegen,GK,3,0,0,270,80
14,Javier Mascherano,CB,32,0,0,2790,88
2,Martín Montoya,RB,9,0,1,640,83
21,Adriano,LB,8,0,0,560,84
5,Sergio Busquets,DM,34,0,1,3010,91
6,Xavi,CM,27,0,4,1290,91
20,Sergi Roberto,CM,12,0,1,560,88
